Rasa,ogon krótki,ogon puszysty,uszy krótkie,uszy szpiczaste,oczy ciemne,cętki/ plamy,paski,mały wzrost ,średni wzrost,duży wzrost,sierść bdz krótka,sierść krótka,sierść długa,Rodzaj
chow chow,1,1,1,0,1,0,0,0,1,0,0,1,0,0
chow chow,1,1,1,0,1,0,0,0,1,0,0,0,1,0
cirneco delletna,0,0,0,1,1,0,0,0,1,0,0,1,0,0
clumber spaniel,0,1,0,0,1,1,0,0,1,0,0,0,1,0
cocker spaniel amer,0,0,0,0,1,0,0,0,1,0,0,0,1,0
cocker spaniel ang,0,0,0,0,1,0,0,0,1,0,0,0,1,0
coton de tulear,1,1,1,0,1,0,0,1,0,0,0,0,1,0
curly coated retriever,0,0,1,0,1,0,0,0,1,0,0,1,0,0
czeski fousek,0,1,0,0,1,1,0,0,1,0,0,0,1,0
czuwacz słowacki,0,1,0,0,1,0,0,0,0,1,0,0,1,0
dalmatyczńczyk,0,0,0,0,1,1,0,0,1,0,0,1,0,0
dandie dinmont terrier,1,1,1,0,1,0,0,1,0,0,0,0,1,0
doberman,0,0,0,0,1,0,0,0,0,1,1,0,0,0
doberman,0,0,0,0,1,0,0,0,0,1,0,1,0,0
dog argentyński,0,0,0,0,1,0,0,0,0,1,0,1,0,0
dog kanaryjski,0,0,0,0,1,0,0,0,0,1,0,1,0,0
dog niemiecki,0,0,0,1,1,1,0,0,0,0,1,0,0,0
kot egzotyczny,0,1,1,0,0,0,1,0,1,0,0,1,0,1
german rex,0,0,1,1,0,0,0,0,1,0,0,1,0,1
hawański ,0,0,0,0,0,0,0,0,1,0,0,1,0,1
kot himalański,0,1,1,1,0,0,0,0,1,0,0,0,1,1
kot jawajski,0,1,0,1,0,0,0,0,1,0,0,0,1,1
dog z majorki,0,0,1,1,1,0,0,0,1,0,0,1,0,0
dogue de bordeaux,0,0,0,0,1,0,0,0,0,1,0,1,0,0
drentse patrijshond,0,1,0,0,1,1,0,0,1,0,0,0,1,0
drever,0,0,0,0,1,0,0,1,0,0,0,1,0,0
duży gończy ang-fr,0,0,0,0,1,1,0,0,0,1,0,1,0,0
duży muensterlaender,0,1,0,0,1,1,0,0,0,1,0,0,1,0
duży szwaj pies pasterski,0,0,0,0,1,0,0,0,0,1,0,1,0,0
duży szwaj pies pasterski,0,0,0,0,1,0,0,0,0,1,0,0,1,0
elkhund szary,0,1,1,1,1,0,0,0,1,0,0,0,1,0
entlebucher,0,0,0,0,1,0,0,0,1,0,0,1,0,0
eurasier,1,1,1,0,1,0,0,0,1,0,0,1,0,0
eurasier,1,1,1,0,1,0,0,0,1,0,0,0,1,0
field spaniel,1,1,0,0,1,0,0,0,1,0,0,0,1,0
fila brasileiro,0,0,0,0,1,0,1,0,0,1,0,1,0,0
fiński lapphund,0,1,0,1,1,0,0,0,1,0,0,0,1,0
flat coated retriever,1,1,0,0,1,0,0,0,1,0,0,0,1,0
foksterrier,1,0,1,1,1,1,0,1,0,0,0,1,0,0
foxhound amerykański,1,0,0,0,1,1,0,0,0,1,0,0,1,0
kot kalifornijski spangled,0,0,0,1,0,0,1,0,1,0,0,1,0,1
kot orintalny krotkowło,0,0,0,0,0,0,0,0,1,0,0,1,0,1
kot orintalny krotkowło,0,0,0,0,0,0,0,0,1,0,0,0,1,1
kot perski,0,1,1,1,0,0,0,0,1,0,0,0,1,1
kot perski szynszylowy,0,1,1,1,0,0,0,1,0,0,0,0,1,1
kot rosyjski niebieski,0,0,0,1,0,0,0,0,1,0,0,1,0,1
fryzyjski pies dowodny,1,1,0,0,1,1,0,0,1,0,0,0,1,0
golden retriever,0,1,0,0,1,0,0,0,1,0,0,0,1,0
gończy bośniacki,0,1,0,0,1,0,0,0,1,0,0,0,1,0
gończy fr cz-bia,0,0,0,0,1,1,0,0,0,1,1,0,0,0
gończy fr trojkol,0,0,0,0,1,1,0,0,0,1,1,0,0,0
gończy gaskoński,0,0,0,0,1,1,0,0,0,1,0,1,0,0
gończy grecki,0,0,0,0,1,0,0,0,1,0,1,0,0,0
gończy istryjski szorstkowło,1,0,0,0,1,1,0,0,1,0,0,1,0,0
gończy polski,0,0,0,0,1,0,0,0,1,0,0,1,0,0
gończy słowacki,1,0,0,0,1,0,0,0,1,0,0,1,0,0
gończy szwajcarski,0,0,0,0,1,0,0,0,1,0,0,1,0,0
gończy szwaj krótkonożny,0,0,0,0,1,1,0,0,1,0,0,1,0,0
gończy tyrolski,0,1,0,0,1,0,0,0,1,0,0,1,0,0
gończy z nivernais,0,0,0,0,1,0,0,0,1,0,0,0,1,0
grand basset griffon,0,1,0,0,1,1,0,0,1,0,0,1,0,0
greyhound,0,0,0,0,1,1,0,0,0,1,0,1,0,0
